防具系列ID / 幻化ID	防具系列名称	模型地址
81	慘爪龍α	pl029_0000
82	慘爪龍β	pl029_0010
83	岩賊龍α	pl039_0000
84	岩賊龍β	pl039_0000
85	熔岩龍α	pl040_0000
86	熔岩龍β	pl040_0010
87	火龍心α	pl021_0100
88	火龍心β	pl021_0110
89	礦石α	pl025_0000
90	礦石β	pl025_0000
91	鑄鐵α	pl031_0000
92	鑄鐵β	pl031_0000
93	蠻顎龍α	pl020_0000
94	蠻顎龍β	pl020_0010
95	風漂龍α	pl027_0000
96	風漂龍β	pl027_0010
97	骨鎚龍α	pl028_0000
98	骨鎚龍β	pl028_0010
99	烏爾德α	pl032_0000
100	烏爾德β	pl032_0010
101	火龍α	pl033_0000
102	火龍β	pl033_0010
103	角龍α	pl034_0000
104	角龍β	pl034_0010
105	麒麟α	pl035_0000
106	麒麟β	pl035_0010
107	戰紋α	pl030_0000
108	戰紋β	pl030_0010
109	爆鎚龍α	pl041_0000
110	爆鎚龍β	pl041_0010
111	火龍魂α	pl033_0100
112	火龍魂β	pl033_0110
113	暴君角龍α	pl034_0100
114	暴君角龍β	pl034_0110
115	爆鱗龍α	pl042_0000
116	爆鱗龍β	pl042_0010
117	獨角仙α	pl019_0000 (男性限定)
118	獨角仙β	pl019_0000 (男性限定)
119	旅團α	pl036_0000
120	旅團β	pl036_0000
121	大馬士革α	pl043_0000
122	大馬士革β	pl043_0010
123	杜賓α	pl044_0000
124	杜賓β	pl044_0000
125	冥燈幽火α	pl045_0000
126	冥燈幽火β	pl045_0010
127	帝王α	pl046_0000
128	帝王β	pl046_0010
129	鋼龍α	pl047_0000
130	鋼龍β	pl047_0010
131	骷髏α	pl054_0000
132	骷髏β	pl001_0000
133	死神α	pl026_0000
134	死神β	pl026_0000
135	公會十字α	pl048_0000
136	公會十字β	pl048_0000
137	Unavailable	pl001_0000
138	Unavailable	pl001_0000
139	鑄島熔岩α	pl038_0000
140	鑄島熔岩β	pl038_0010
141	追蹤者α	pl053_0000
142	追蹤者β	pl053_0000
143	Unavailable	pl001_0000
144	Unavailable	pl001_0000
145	【旅團】服裝	pl036_0000
146	【公會十字】服裝	pl048_0000
147	【巴魯特】服裝	pl074_0000
148	【潛水夫】服裝	pl075_0000
149	【收穫】服裝	pl076_0000
150	【獵戶星】服裝	pl077_0000
151	艾路頭套α	pl055_0000
152	菌豬頭套α	pl056_0000
153	【盛裝】服裝	pl078_0000
154	HARDUMMY	pl068_0000
155	【RYU】服裝	pl069_0000
156	【SAKURA】服裝	pl070_0000
157	黎明武士【寂】	pl001_0000
158	黎明武士【寂】	pl001_0000
159	【巴耶克】服裝	pl120_0000
160	黎明武士【寂】	pl001_0000
161	貓蜥龍	pl058_0000
162	貓蜥龍α	pl058_0000
163	貓蜥龍β	pl058_0000
164	燕尾蝶	pl019_0000 (女性限定)
165	燕尾蝶α	pl019_0000 (女性限定)
166	燕尾蝶β	pl019_0000 (女性限定)
167	黎明武士【寂】	无
168	黎明武士【寂】	无
169	原型	pl018_0000
170	黎明武士【譽】	pl001_0000
171	黎明武士【譽】	pl001_0000
172	黎明武士【譽】	pl001_0000
173	黎明武士【譽】	pl001_0000
174	黎明武士【譽】	pl059_0000
175	Unavailable	pl001_0000
176	知性眼鏡α	pl060_0000
177	Unavailable	pl001_0000
178	龍王的獨眼α	pl061_0000
179	Unavailable	pl001_0000
180	Unavailable	pl001_0000
181	Unavailable	pl001_0000
182	Unavailable	pl001_0000
183	絢輝龍鎧羅α	pl049_0000
184	絢輝龍鎧羅β	pl049_0010
185	巴魯特	pl074_0000
186	潛水夫	pl075_0000
187	收穫	pl076_0000
188	獵戶星	pl077_0000
189	盛裝	pl078_0000
190	鎧武者	pl067_0000
191	殘虐α	pl050_0000
192	殘虐β	pl050_0010
193	Unavailable	pl001_0000
194	黎明武士【寂】	pl066_0000
195	黎明武士【譽】	pl066_0010
196	騰龍α	pl073_0000
197	巴魯特α	pl074_0000
198	潛水夫α	pl075_0000
199	收穫α	pl076_0000
200	獵戶星α	pl077_0000
201	盛裝α	pl078_0000
202	燕尾蝶男	pl057_0000 (男性限定)
203	燕尾蝶男α	pl057_0000 (男性限定)
204	燕尾蝶男β	pl057_0010 (男性限定)
205	獨角仙后	pl057_0000 (女性限定)
206	獨角仙后α	pl057_0000 (女性限定)
207	獨角仙后β	pl057_0000 (女性限定)
208	烏爾德γ	pl032_0020
209	麒麟γ	pl035_0020
210	帝王γ	pl046_0020
211	鋼龍γ	pl047_0020
212	戰紋γ	pl030_0020
213	鑄島熔岩γ	pl038_0020
214	冥燈幽火γ	pl045_0020
215	HARDUMMY	pl068_0000
216	RYU	pl069_0000
217	RYUα	pl069_0000
218	SAKURAα	pl070_0000
219	蒼星之將α	pl072_0000
220	但丁α	pl071_0000
221	皇后α	pl051_0000
222	皇后β	pl051_0010
223	封印的眼罩α	pl063_0000
224	墨鏡α	pl062_0000
225	扒手龍頭套α	pl065_0000
226	搖曳鰻頭套α	pl064_0000
227	【蝴蝶】服裝	pl117_0000
228	【死神】服裝	pl026_0000
229	【墨鏡】服裝	pl062_0000
230	【但丁】服裝	pl071_0000
231	【騰龍】服裝	pl073_0000
232	【菌豬頭套】服裝	pl056_0000
233	【艾路頭套】服裝	pl055_0000
234	【追蹤者】服裝	pl053_0000
235	【封印的眼罩】服裝	pl063_0000
236	【搖曳鰻頭套】服裝	pl064_0000
237	【原型】服裝	pl018_0000
238	【甲蟲】服裝	pl116_0000
239	Unavailable	pl001_0000
240	【骷髏面罩】服裝	pl054_0000
241	【扒手龍頭套】服裝	pl065_0000
242	HARDUMMY	pl068_0000
243	皇后γ	pl051_0020
244	傑洛特α	pl118_0000
245	希里α	pl119_0000
246	【傑洛特】服裝	pl118_0000
247	【希里】服裝	pl119_0000
248	絢輝龍鎧羅γ	pl049_0020
249	防衛隊α	pl121_0000
250	【冰狼】服裝	pl105_0000
251	Unavailable	无
252	精英·骨製α	pl003_0000
253	精英·骨製β	pl003_0000
254	精英·合金α	pl004_0000
255	精英·合金β	pl004_0000
256	精英·巨蜂α	pl007_0001
257	精英·巨蜂β	pl007_0001
258	精英·巨甲蟲α	pl017_0001
259	精英·巨甲蟲β	pl017_0001
260	精英·冠突龍α	pl005_0000
261	精英·冠突龍β	pl005_0000
262	精英·咬魚α	pl006_0000
263	精英·咬魚β	pl006_0000
264	精英·貓蜥龍α	pl058_0000
265	精英·貓蜥龍β	pl058_0000
266	精英·突擊龍α	pl015_0000
267	精英·突擊龍β	pl015_0000
268	精英·酸翼龍α	pl016_0000
269	精英·酸翼龍β	pl016_0000
270	精英·冰豺龍α	pl102_0000
271	精英·冰豺龍β	pl102_0000
272	精英·冬翼龍α	pl103_0000
273	精英·冬翼龍β	pl103_0000
274	精英·凶豺龍α	pl008_0001
275	精英·凶豺龍β	pl008_0001
276	精英·眩鳥α	pl023_0001
277	精英·眩鳥β	pl023_0001
278	精英·凶顎龍α	pl022_0001
279	精英·凶顎龍β	pl022_0001
280	精英·岩賊龍α	pl039_0001
281	精英·岩賊龍β	pl039_0001
282	精英·搔鳥α	pl009_0001
283	精英·搔鳥β	pl009_0001
284	精英·毒妖鳥α	pl010_0001
285	精英·毒妖鳥β	pl010_0001
286	精英·土砂龍α	pl012_0001
287	精英·土砂龍β	pl012_0001
288	精英·泥魚龍α	pl011_0001
289	精英·泥魚龍β	pl011_0001
290	精英·冰魚龍α	pl110_0000
291	精英·冰魚龍β	pl110_0000
292	精英·飛雷龍α	pl013_0001
293	精英·飛雷龍β	pl013_0001
294	精英·礦石α	pl025_0000
295	精英·礦石β	pl025_0000
296	精英·猛牛龍α	pl084_0000
297	精英·猛牛龍β	pl084_0010
298	精英·蠻顎龍α	pl020_0001
299	精英·蠻顎龍β	pl020_0011
300	精英·雌火龍α	pl021_0001
301	精英·雌火龍β	pl021_0011
302	精英·火龍心α	pl021_0101
303	精英·火龍心β	pl021_0111
304	精英·浮空龍α	pl024_0001
305	精英·浮空龍β	pl024_0001
306	精英·浮夢α	pl024_0101
307	精英·浮夢β	pl024_0101
308	精英·妖水α	pl010_0101
309	精英·妖水β	pl010_0101
310	精英·朱毒α	pl013_0101
311	精英·朱毒β	pl013_0101
312	精英·骨鎚龍α	pl028_0001
313	精英·骨鎚龍β	pl028_0001
314	【皮製】服裝	pl001_0000
315	【鎖甲】服裝	pl014_0000
316	【獵人α】服裝	pl002_0000
317	【獵人β】服裝	pl002_0010
318	【骨製】服裝	pl003_0000
319	【合金】服裝	pl004_0000
320	【巨蜂】服裝	pl007_0000
321	【巨甲】服裝	pl017_0000
322	【冠突龍】服裝	pl005_0000
323	【咬魚】服裝	pl006_0000
324	Unavailable	pl095_0000
325	【溫泉金猴】服裝	pl113_0001
326	【貓蜥龍】服裝	pl058_0000
327	【精靈鹿頭套】服裝	pl096_0000
328	精英·鑄鐵α	pl031_0000
329	精英·鑄鐵β	pl031_0000
330	精英·冰牙龍α	pl089_0000
331	精英·冰牙龍β	pl089_0010
332	精英·火龍α	pl033_0001
333	精英·火龍β	pl033_0011
334	精英·角龍α	pl034_0001
335	精英·角龍β	pl034_0011
336	精英·風漂龍α	pl027_0001
337	精英·風漂龍β	pl027_0011
338	精英·慘爪α	pl029_0001
339	精英·慘爪β	pl029_0011
340	精英·熔岩龍α	pl040_0001
341	精英·熔岩龍β	pl040_0001
342	精英·爆鎚龍α	pl041_0001
343	精英·爆鎚龍β	pl041_0001
344	精英·迅龍α	pl080_0000
345	精英·迅龍β	pl080_0010
346	精英·斬龍α	pl081_0000
347	精英·斬龍β	pl081_0010
348	精英·碎龍α	pl082_0000
349	精英·碎龍β	pl082_0010
350	精英·轟龍α	pl083_0000
351	精英·轟龍β	pl083_0010
352	精英·雷顎α	pl020_0101
353	精英·雷顎β	pl020_0111
354	【凶豺龍】服裝	pl008_0000
355	【搔鳥】服裝	pl009_0000
356	精英·黑帶α	pl093_0000
357	精英·黑帶β	pl093_0000
358	【龍王的獨眼】服裝	pl061_0000
359	【知性眼鏡】服裝	pl060_0000
360	【羽毛裝飾】服裝	pl037_0000
361	【眩鳥】服裝	pl023_0000
362	【凶顎龍】服裝	pl022_0000
363	精英·霜漂α	pl027_0500
364	精英·霜漂β	pl027_0510
365	精英·火龍魂α	pl033_0101
366	精英·火龍魂β	pl033_0111
367	精英·暴君角龍α	pl034_0101
368	精英·暴君角龍β	pl034_0111
369	精英·亡爪α	pl029_0101
370	精英·亡爪β	pl029_0111
371	精英·斬黃α	pl081_0100
372	精英·斬黃β	pl081_0110
373	精英·機械α	pl091_0000
374	精英·機械β	pl091_0000
375	【骷髏領巾】服裝	pl099_0000
376	【毒妖鳥α】服裝	pl010_0000
377	【毒妖鳥β】服裝	pl010_0010
378	精英·杜賓α	pl044_0000
379	精英·杜賓β	pl044_0000
380	精英·大馬士革α	pl043_0000
381	精英·大馬士革β	pl043_0010
382	精英·雪崩α	pl085_0000
383	精英·雪崩β	pl085_0010
384	精英·矜持α	pl042_0500
385	精英·矜持β	pl042_0510
386	精英·死滅α	pl032_0500
387	精英·死滅β	pl032_0510
388	精英·帝王α	pl046_0001
389	精英·帝王β	pl046_0011
390	精英·鋼龍α	pl047_0001
391	精英·鋼龍β	pl047_0011
392	精英·麒麟α	pl035_0001
393	精英·麒麟β	pl035_0011
394	精英·觸角α	pl086_0000
395	精英·觸角β	pl086_0010
396	【蒸汽貴族α】服裝	pl104_0000
397	【土砂龍】服裝	pl012_0000
398	精英·公會宮殿α	pl094_0000
399	精英·公會宮殿β	pl094_0000
400	精英·蒸汽貴族α	pl104_0000
401	精英·蒸汽貴族β	pl104_0000
402	【水晶耳環】服裝	pl059_0000
403	精英·狂紋α	pl030_0500
404	精英·狂紋β	pl030_0510
405	精英·迦樓羅α	pl088_0000
406	精英·迦樓羅β	pl088_0010
407	精英·貪欲α	pl050_0500
408	精英·貪欲β	pl050_0510
409	【蠻顎龍α】服裝	pl020_0000
410	【蠻顎龍β】服裝	pl020_0010
411	精英·公會成果α	pl092_0000
412	精英·公會成果β	pl092_0000
413	Unavailable	pl095_0010
414	精英·金黃澄月α	pl021_0200
415	精英·金黃澄月β	pl021_0210
416	精英·銀白耀日α	pl033_0200
417	精英·銀白耀日β	pl033_0210
418	【泥魚龍】服裝	pl011_0000
419	【飛雷龍】服裝	pl013_0000
420	精英·雷狼龍α	pl107_0000
421	精英·雷狼龍β	pl107_0010
422	精英·獄狼龍α	pl107_0100
423	精英·獄狼龍β	pl107_0110
424	精英·黑狼鳥α	pl108_0000
425	精英·黑狼鳥β	pl108_0010
426	精英·鑄島熔岩α	pl038_0000
427	精英·鑄島熔岩β	pl038_0010
428	精英·金色α	pl109_0000
429	精英·金色β	pl109_0010
430	精英·齊天α	pl109_0500
431	精英·齊天β	pl109_0510
432	精英·鐵腕α	pl082_0500
433	精英·鐵腕β	pl082_0510
434	精英‧龍紋α	pl087_0000
435	精英‧龍紋β	pl087_0010
436	精英·煌黑龍α	pl052_0000
437	精英·煌黑龍β	pl052_0010
438	精英‧封印的龍骸布α	pl100_0000
439	精英‧龍人族之耳α	pl101_0000
440	【草食龍頭套】服裝	pl097_0000
441	精英‧企鵝頭套α	pl098_0000
442	精英·皇后α	pl051_0001
443	精英·皇后β	pl051_0011
444	精英·絢輝龍鎧羅α	pl049_0001
445	精英·絢輝龍鎧羅β	pl049_0011
446	精英‧薔薇α	pl124_0000
447	【浮空龍】服裝	pl024_0000
448	精英·熱情α	pl125_0000
449	【雌火龍α】服裝	pl021_0000
450	精英·魔界之主α	pl126_0000
451	【雌火龍β】服裝	pl021_0010
452	精英‧風火輪α	pl127_0000
453	【骨鎚龍α】服裝	pl028_0000
454	精英‧阿斯特拉α	pl128_0000
455	【骨鎚龍β】服裝	pl028_0010
456	【薔薇】服裝	pl124_0000
457	【熱情】服裝	pl125_0000
458	【魔界之主】服裝	pl126_0000
459	【風火輪】服裝	pl127_0000
460	【阿斯特拉】服裝	pl128_0000
461	【礦石】服裝	pl025_0000
462	【浴場】服裝	pl106_0000
463	【兔耳朵】服裝	pl111_0000
464	【柔毛秧雞】服裝	pl112_0000
465	精英·溫泉銀猴α	pl113_0000
466	【飛雷龍圍巾】服裝	pl114_0000
467	精英‧健美α	pl115_0000
468	精英·轟吼α	pl083_0100
469	精英·轟吼β	pl083_0110
470	守護者α	pl121_0000
471	【結雲】服裝	pl122_0000
472	【銀騎士】服裝	pl123_0000
473	HARDUMMY	pl068_0010
474	精英·觸角γ	pl086_0020
475	【蒼星之將】服裝	pl072_0000
476	精英‧蒼世武士α	pl072_0001
477	精英‧雪崩γ	pl085_0020
478	精英·霜刃冰牙龍α	pl089_0500
479	精英·霜刃冰牙龍β	pl089_0510
480	精英‧龍α	pl129_0000
481	精英‧龍β	pl129_0010
482	HARDUMMY	pl068_0020
483	Unavailable	无
484	精英‧里昂α	pl130_0000
485	精英‧克蕾兒α	pl131_0000
486	【里昂】服裝	pl130_0000
487	【克蕾兒】服裝	pl131_0000
488	【突擊龍】服裝	pl015_0000
489	【酸翼龍】服裝	pl016_0000
490	【岩賊龍】服裝	pl039_0000
491	【鑄鐵】服裝	pl031_0000
492	【火龍心α】服裝	pl021_0100
493	【火龍心β】服裝	pl021_0110
494	【熔岩龍α】服裝	pl040_0000
495	【熔岩龍β】服裝	pl040_0010
496	【風漂龍α】服裝	pl027_0000
497	【風漂龍β】服裝	pl027_0010
498	【慘爪龍α】服裝	pl029_0000
499	【慘爪龍β】服裝	pl029_0010
500	【火龍α】服裝	pl033_0000
501	【火龍β】服裝	pl033_0010
502	【火龍魂α】服裝	pl033_0100
503	【火龍魂β】服裝	pl033_0110
504	【角龍α】服裝	pl034_0000
505	【角龍β】服裝	pl034_0010
506	【暴君角龍α】服裝	pl034_0100
507	【暴君角龍β】服裝	pl034_0110
508	【爆鎚龍α】服裝	pl041_0000
509	【爆鎚龍β】服裝	pl041_0010
510	【爆鱗龍α】服裝	pl042_0000
511	【爆鱗龍β】服裝	pl042_0010
512	【殘虐α】服裝	pl050_0000
513	【殘虐β】服裝	pl050_0010
514	【杜賓α】服裝	pl044_0000
515	【杜賓β】服裝	pl044_0000
516	【大馬士革α】服裝	pl043_0000
517	【大馬士革β】服裝	pl043_0010
518	【鑄島熔岩α】服裝	pl038_0000
519	【鑄島熔岩β】服裝	pl038_0010
520	【鑄島熔岩γ】服裝	pl038_0020
521	【戰紋α】服裝	pl030_0000
522	【戰紋β】服裝	pl030_0010
523	【戰紋γ】服裝	pl030_0020
524	【帝王α】服裝	pl046_0000
525	【帝王β】服裝	pl046_0010
526	【帝王γ】服裝	pl046_0020
527	【鋼龍α】服裝	pl047_0000
528	【鋼龍β】服裝	pl047_0010
529	【鋼龍γ】服裝	pl047_0020
530	【烏爾德α】服裝	pl032_0000
531	【烏爾德β】服裝	pl032_0010
532	【烏爾德γ】服裝	pl032_0020
533	【麒麟α】服裝	pl035_0000
534	【麒麟β】服裝	pl035_0010
535	【麒麟γ】服裝	pl035_0020
536	【冥燈幽火α】服裝	pl045_0000
537	【冥燈幽火β】服裝	pl045_0010
538	【冥燈幽火γ】服裝	pl045_0020
539	【皇后α】服裝	pl051_0000
540	【皇后β】服裝	pl051_0010
541	【皇后γ】服裝	pl051_0020
542	【絢輝龍鎧羅α】服裝	pl049_0000
543	【絢輝龍鎧羅β】服裝	pl049_0010
544	【絢輝龍鎧羅γ】服裝	pl049_0020
545	【守護者】服裝	pl121_0000
546	【精英·巨蜂】服裝	pl007_0001
547	【精英·巨甲蟲】服裝	pl017_0001
548	【精英·冰豺龍】服裝	pl102_0000
549	【精英·冬翼龍】服裝	pl103_0000
550	【精英·凶豺龍】服裝	pl008_0001
551	【精英·眩鳥】服裝	pl023_0001
552	【精英·凶顎龍】服裝	pl022_0001
553	【精英·岩賊龍】服裝	pl039_0001
554	【精英·搔鳥】服裝	pl009_0001
555	【精英·毒妖鳥】服裝	pl010_0001
556	【精英·妖水】服裝	pl010_0101
557	【精英·土砂龍】服裝	pl012_0001
558	【精英·泥魚龍】服裝	pl011_0001
559	【精英·冰魚龍】服裝	pl110_0000
560	【精英·飛雷龍】服裝	pl013_0001
561	【精英·朱毒】服裝	pl013_0101
562	【精英·猛牛龍α】服裝	pl084_0000
563	【精英·猛牛龍β】服裝	pl084_0010
564	【精英·蠻顎龍α】服裝	pl020_0001
565	【精英·蠻顎龍β】服裝	pl020_0011
566	【精英·雷顎α】服裝	pl020_0101
567	【精英·雷顎β】服裝	pl020_0111
568	【精英·雌火龍α】服裝	pl021_0001
569	【精英·雌火龍β】服裝	pl021_0011
570	【精英·火龍心α】服裝	pl021_0101
571	【精英·火龍心β】服裝	pl021_0111
572	【精英·浮空龍】服裝	pl024_0001
573	【精英·浮夢】服裝	pl024_0101
574	【精英·骨鎚龍】服裝	pl028_0001
575	【機械】服裝	pl091_0000
576	【精英·冰牙龍α】服裝	pl089_0000
577	【精英·冰牙龍β】服裝	pl089_0010
578	【精英·火龍α】服裝	pl033_0001
579	【精英·火龍β】服裝	pl033_0011
580	【精英·火龍魂α】服裝	pl033_0101
581	【精英·火龍魂β】服裝	pl033_0111
582	【精英·角龍α】服裝	pl034_0001
583	【精英·角龍β】服裝	pl034_0011
584	【精英·暴君角龍α】服裝	pl034_0101
585	【精英·暴君角龍β】服裝	pl034_0111
586	【精英·風漂龍α】服裝	pl027_0001
587	【精英·風漂龍β】服裝	pl027_0011
588	【精英·霜漂α】服裝	pl027_0500
589	【精英·霜漂β】服裝	pl027_0510
590	【精英·慘爪α】服裝	pl029_0001
591	【精英·慘爪β】服裝	pl029_0011
592	【精英·亡爪α】服裝	pl029_0101
593	【精英·亡爪β】服裝	pl029_0111
594	【精英·熔岩龍】服裝	pl040_0001
595	【精英·爆鎚龍】服裝	pl041_0001
596	【精英·迅龍α】服裝	pl080_0000
597	【精英·迅龍β】服裝	pl080_0010
598	【精英·斬龍α】服裝	pl081_0000
599	【精英·斬龍β】服裝	pl081_0010
600	【精英·斬黃α】服裝	pl081_0100
601	【精英·斬黃β】服裝	pl081_0110
602	【精英·碎龍α】服裝	pl082_0000
603	【精英·碎龍β】服裝	pl082_0010
604	【精英·轟龍α】服裝	pl083_0000
605	【精英·轟龍β】服裝	pl083_0010
606	【精英·轟吼α】服裝	pl083_0100
607	【精英·轟吼β】服裝	pl083_0110
608	【黑帶】服裝	pl093_0000
609	【精英·矜持α】服裝	pl042_0500
610	【精英·矜持β】服裝	pl042_0510
611	【精英·貪欲α】服裝	pl050_0500
612	【精英·貪欲β】服裝	pl050_0510
613	【精英·雪崩α】服裝	pl085_0000
614	【精英·雪崩β】服裝	pl085_0010
615	【精英·死滅α】服裝	pl032_0500
616	【精英·死滅β】服裝	pl032_0510
617	【精英·帝王α】服裝	pl046_0001
618	【精英·帝王β】服裝	pl046_0011
619	【精英·鋼龍α】服裝	pl047_0001
620	【精英·鋼龍β】服裝	pl047_0011
621	【精英·麒麟α】服裝	pl035_0001
622	【精英·麒麟β】服裝	pl035_0011
623	【精英·觸角α】服裝	pl086_0000
624	【精英·觸角β】服裝	pl086_0010
625	【公會宮殿】服裝	pl094_0000
626	【敏捷耳飾】服裝	pl095_0000
627	【佯動耳飾】服裝	pl095_0010
628	【精英·迦樓羅α】服裝	pl088_0000
629	【精英·迦樓羅β】服裝	pl088_0010
630	【精英·黑狼鳥α】服裝	pl108_0000
631	【精英·黑狼鳥β】服裝	pl108_0010
632	【精英·雷狼龍α】服裝	pl107_0000
633	【精英·雷狼龍β】服裝	pl107_0010
634	【精英·金黃澄月α】服裝	pl021_0200
635	【精英·金黃澄月β】服裝	pl021_0210
636	【精英·銀白耀日α】服裝	pl033_0200
637	【精英·銀白耀日β】服裝	pl033_0210
638	【精英·皇后α】服裝	pl051_0001
639	【精英·皇后β】服裝	pl051_0011
640	【精英·狂紋α】服裝	pl030_0500
641	【精英·狂紋β】服裝	pl030_0510
642	【公會成果】服裝	pl092_0000
643	【精英·金色α】服裝	pl109_0000
644	【精英·金色β】服裝	pl109_0010
645	【精英·獄狼龍α】服裝	pl107_0100
646	【精英·獄狼龍β】服裝	pl107_0110
647	【精英‧龍紋α】服裝	pl087_0000
648	【精英‧龍紋β】服裝	pl087_0010
649	【精英·齊天α】服裝	pl109_0500
650	【精英·齊天β】服裝	pl109_0510
651	【精英·鐵腕α】服裝	pl082_0500
652	【精英·鐵腕β】服裝	pl082_0510
653	【精英·霜刃冰牙龍α】服裝	pl089_0500
654	【精英·霜刃冰牙龍β】服裝	pl089_0510
655	【精英·煌黑龍α】服裝	pl052_0000
656	【精英·煌黑龍β】服裝	pl052_0010
657	【精英‧龍α】服裝	pl129_0000
658	【精英‧龍β】服裝	pl129_0010
659	【精英·絢輝龍鎧羅α】服裝	pl049_0001
660	【精英·絢輝龍鎧羅β】服裝	pl049_0011
661	【封印的龍骸布】服裝	pl100_0000
662	【龍人族之耳】服裝	pl101_0000
663	【企鵝頭套】服裝	pl098_0000
664	【溫泉銀猴】服裝	pl113_0000
665	【健美α】服裝	pl115_0000
666	【蒼世武士】服裝	pl072_0001
667	Unavailable	无
668	HARDUMMY	pl068_0020
669	【精英·雪崩γ】服裝	pl085_0020
670	【精英·觸角γ】服裝	pl086_0020
671	Unavailable	无
672	【健美γ】服裝	pl115_0001
673	【內衣α】服裝	pl500_0000
674	【蒸汽貴族β】服裝	pl104_0000
675	【內衣β】服裝	pl501_0000
676	Unavailable	无
677	Unavailable	无
678	Unavailable	无
679	Unavailable	无
680	Unavailable	无
681	Unavailable	无
682	Unavailable	无
683	Unavailable	无
684	Unavailable	无
685	Unavailable	无
686	Unavailable	无
687	Unavailable	无
688	Unavailable	无
689	Unavailable	无
690	Unavailable	无
691	Unavailable	无
692	Unavailable	无
693	Unavailable	无
694	Unavailable	无
695	Unavailable	无
696	Unavailable	无
697	Unavailable	无
698	Unavailable	无
699	Unavailable	无
700	Unavailable	无
701	Unavailable	无
702	Unavailable	无
703	Unavailable	无
704	Unavailable	无
705	Unavailable	无
706	Unavailable	无
707	Unavailable	无
708	Unavailable	无
709	Unavailable	无
710	Unavailable	无
711	Unavailable	无
712	Unavailable	无
713	Unavailable	无
714	Unavailable	无
715	Unavailable	无
716	Unavailable	无
717	Unavailable	无
718	Unavailable	无
719	Unavailable	无
720	Unavailable	无
721	Unavailable	无
722	Unavailable	无
723	Unavailable	无
724	Unavailable	无
725	Unavailable	无
726	Unavailable	无
727	Unavailable	无
728	Unavailable	无
729	Unavailable	无
730	Unavailable	无
731	Unavailable	无
732	Unavailable	无
733	Unavailable	无
734	Unavailable	无
735	Unavailable	无
736	Unavailable	无
737	Unavailable	无
738	Unavailable	无
739	Unavailable	无
740	Unavailable	无
741	Unavailable	无
742	Unavailable	无
743	Unavailable	无
744	Unavailable	无
745	Unavailable	无
746	Unavailable	无
747	Unavailable	无
748	Unavailable	无
749	Unavailable	无
750	Unavailable	无
751	Unavailable	无
